I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
257.12,333.616,76.78399999999999,-295.568,91.608,206.2,-72.44800000000001,622.784,630.896,480.93600000000004,307.84000000000003,240.256
241.12,315.616,74.78399999999999,-278.568,83.608,196.2,-64.44800000000001,601.784,598.896,453.93600000000004,286.84000000000003,224.256
225.12,297.616,73.78399999999999,-261.568,76.608,186.2,-57.448,581.784,567.896,426.93600000000004,266.84000000000003,208.256
211.12,279.616,68.78399999999999,-245.56799999999998,72.608,175.2,-50.448,555.784,534.896,399.93600000000004,247.84,193.256
198.12,262.616,63.784,-230.56799999999998,68.608,164.2,-42.448,530.784,502.896,371.93600000000004,228.84,179.256
185.12,244.61599999999999,59.784,-215.56799999999998,64.608,153.2,-35.448,504.784,469.896,344.93600000000004,209.84,165.256
172.12,227.61599999999999,54.784,-199.56799999999998,60.608,142.2,-27.448,478.784,437.896,317.93600000000004,190.84,151.256
159.12,210.61599999999999,49.784,-184.56799999999998,56.608,131.2,-20.448,452.784,405.896,289.93600000000004,172.84,137.256
146.12,192.61599999999999,45.784,-169.56799999999998,52.608,120.2,-12.448,426.784,372.896,262.93600000000004,153.84,123.256
133.12,175.61599999999999,40.784,-154.56799999999998,48.608,109.2,-5.448,400.784,340.896,234.936,134.84,109.256
122.12,161.61599999999999,38.784,-141.56799999999998,43.608,101.2,-3.4480000000000004,376.784,314.896,214.936,120.84,99.256
111.12,148.61599999999999,36.784,-129.56799999999998,38.608,93.2,-1.4480000000000004,351.784,289.896,194.936,107.84,89.256
100.12,134.61599999999999,34.784,-116.568,33.608,85.2,0.5519999999999996,327.784,263.896,174.936,94.84,79.256
89.12,121.616,32.784,-104.568,28.608,78.2,2.5519999999999996,303.784,238.89600000000002,154.936,81.84,69.256
78.12,107.616,30.784,-91.568,24.608,70.2,4.552,278.784,213.89600000000002,135.936,68.84,59.256
66.12,94.616,28.784,-79.568,19.608,62.2,6.552,254.784,188.89600000000002,115.936,55.84,48.256
55.12,80.616,26.784,-66.568,14.608,54.2,7.552,229.784,162.89600000000002,95.936,42.84,38.256
49.12,71.616,23.784,-59.568,12.608,48.2,11.552,213.784,146.89600000000002,83.936,35.84,32.256
